"","Column1","Dnum","Country","State","County","Age","Formation","Stage","Age_Date","AmmoniteZone","LocDescr","Resume_of_Fauna","IndexFossil","Collector","Date","EandR","Map","USGS7.5","Lat_Pub","Long_Pub","Reference","Comments","last_modified","Orig_Resume_Fauna","FieldNum","FormationNew","species"
"565",55,7767,"USA","CO ","San Miguel","Cretaceous","Base of Mesaverde Formation ","Campanian",NA,"","SW1/4 SE1/4 sec. 3, T. 43 N., R. 16 W. (unsurveyed)","Baculites aquilaensis Reeside ","","F. J. James ","9/16/1970","OF-70-9D","Basin","",38.01239,-108.61891,"","","02/18/2014","Baculites aquilaensis Reeside ","","Mesaverde","Baculites aquilaensis Reeside "
"566",58,6290,"USA","WY","Carbon","Cretaceous","Below lowest sandstone in Mesaverde Formation","Campanian, Lower. about 80.9 MY",NA,"","NE¼SW¼NE¼ sec. 9, T. 20 N., R. 82 W.","Baculited sp (smooth)","","Jame R. Gill","7/29/1967","OF-67-7D","Coal Bank Basin","",41.72311,-106.61895,"","","02/18/2014","Baculited sp (smooth)","","Mesaverde","Baculited sp "
"567",336,3409,"USA","WY","Carbon","Cretaceous","Estimated 250 feet below base of Mesaverde Formation","Campanian, Middle  80.04 MY",NA,"","Somewhere near SW corner sec. 34, T. 36 N., R. 85 W.","Baculites cf. B. obtusus Meek","Exitoloceras jenneyi","A. D. Zapp","9/28/1961","OF-61-3D, 5D","","",43.04304,-107.02296,"","","02/18/2014","Baculites cf. B. obtusus Meek","","Mesaverde","Baculites cf. B. obtusus Meek"
"568",368,6267,"USA","WY","Carbon","Cretaceous","From below the lowest ridge-forming sandstone of Mesaverde","Campanian",NA,"","NE¼SE¼ sec. 19, T. 20 N., R. 82 W.","Baculites sp","","Jame R. Gill","7/25/1967","OF-67-7D","Coal Bank Basin","",41.6896,-106.65329,"","","02/18/2014","Baculites sp","","Mesaverde","Baculites sp"
"569",370,6818,"USA","NM ","Sierra","Cretaceous","From brown - wearthering concretionary sandstone forming lowest part of Mesaverde Formation of Kelly anf Silver.","",NA,"","Durham Ranch section, about SW1/4 NE1/4 sec. 30, T. 14 S., R. 3 W.","Mytiloides mytiloides (Mantell) (Schlotheim), Crassostra soleniscus (Meek), Modiolus sp., Plicatula sp., Cymbophora sp., Gyrodes cf. G. conradi Meek, Rostellinda? Sp., Indet. Molds.","Mytiloides nodosoites, M. mytiloides","Landis & Cobban","10/01/1968","OF-68-5D","Engle ","",33.06405,-107.18725,"","Mytilodies mytiloides (Mantell) replaces Inoceramus labiatus of earlier reports (Cobban, W. A., OF-71-3Da, 4/1974).","02/18/2014","Inoceramus labiatus (Schlotheim) ","L68-57A","Mesaverde","Mytiloides mytiloides  "
"5691",370,6818,"USA","NM ","Sierra","Cretaceous","From brown - wearthering concretionary sandstone forming lowest part of Mesaverde Formation of Kelly anf Silver.","",NA,"","Durham Ranch section, about SW1/4 NE1/4 sec. 30, T. 14 S., R. 3 W.","Mytiloides mytiloides (Mantell) (Schlotheim), Crassostra soleniscus (Meek), Modiolus sp., Plicatula sp., Cymbophora sp., Gyrodes cf. G. conradi Meek, Rostellinda? Sp., Indet. Molds.","Mytiloides nodosoites, M. mytiloides","Landis & Cobban","10/01/1968","OF-68-5D","Engle ","",33.06405,-107.18725,"","Mytilodies mytiloides (Mantell) replaces Inoceramus labiatus of earlier reports (Cobban, W. A., OF-71-3Da, 4/1974).","02/18/2014","Inoceramus labiatus (Schlotheim) ","L68-57A","Mesaverde","Crassostra soleniscus "
"5692",370,6818,"USA","NM ","Sierra","Cretaceous","From brown - wearthering concretionary sandstone forming lowest part of Mesaverde Formation of Kelly anf Silver.","",NA,"","Durham Ranch section, about SW1/4 NE1/4 sec. 30, T. 14 S., R. 3 W.","Mytiloides mytiloides (Mantell) (Schlotheim), Crassostra soleniscus (Meek), Modiolus sp., Plicatula sp., Cymbophora sp., Gyrodes cf. G. conradi Meek, Rostellinda? Sp., Indet. Molds.","Mytiloides nodosoites, M. mytiloides","Landis & Cobban","10/01/1968","OF-68-5D","Engle ","",33.06405,-107.18725,"","Mytilodies mytiloides (Mantell) replaces Inoceramus labiatus of earlier reports (Cobban, W. A., OF-71-3Da, 4/1974).","02/18/2014","Inoceramus labiatus (Schlotheim) ","L68-57A","Mesaverde","Modiolus sp."
"5693",370,6818,"USA","NM ","Sierra","Cretaceous","From brown - wearthering concretionary sandstone forming lowest part of Mesaverde Formation of Kelly anf Silver.","",NA,"","Durham Ranch section, about SW1/4 NE1/4 sec. 30, T. 14 S., R. 3 W.","Mytiloides mytiloides (Mantell) (Schlotheim), Crassostra soleniscus (Meek), Modiolus sp., Plicatula sp., Cymbophora sp., Gyrodes cf. G. conradi Meek, Rostellinda? Sp., Indet. Molds.","Mytiloides nodosoites, M. mytiloides","Landis & Cobban","10/01/1968","OF-68-5D","Engle ","",33.06405,-107.18725,"","Mytilodies mytiloides (Mantell) replaces Inoceramus labiatus of earlier reports (Cobban, W. A., OF-71-3Da, 4/1974).","02/18/2014","Inoceramus labiatus (Schlotheim) ","L68-57A","Mesaverde","Plicatula sp."
"5694",370,6818,"USA","NM ","Sierra","Cretaceous","From brown - wearthering concretionary sandstone forming lowest part of Mesaverde Formation of Kelly anf Silver.","",NA,"","Durham Ranch section, about SW1/4 NE1/4 sec. 30, T. 14 S., R. 3 W.","Mytiloides mytiloides (Mantell) (Schlotheim), Crassostra soleniscus (Meek), Modiolus sp., Plicatula sp., Cymbophora sp., Gyrodes cf. G. conradi Meek, Rostellinda? Sp., Indet. Molds.","Mytiloides nodosoites, M. mytiloides","Landis & Cobban","10/01/1968","OF-68-5D","Engle ","",33.06405,-107.18725,"","Mytilodies mytiloides (Mantell) replaces Inoceramus labiatus of earlier reports (Cobban, W. A., OF-71-3Da, 4/1974).","02/18/2014","Inoceramus labiatus (Schlotheim) ","L68-57A","Mesaverde","Cymbophora sp."
"5695",370,6818,"USA","NM ","Sierra","Cretaceous","From brown - wearthering concretionary sandstone forming lowest part of Mesaverde Formation of Kelly anf Silver.","",NA,"","Durham Ranch section, about SW1/4 NE1/4 sec. 30, T. 14 S., R. 3 W.","Mytiloides mytiloides (Mantell) (Schlotheim), Crassostra soleniscus (Meek), Modiolus sp., Plicatula sp., Cymbophora sp., Gyrodes cf. G. conradi Meek, Rostellinda? Sp., Indet. Molds.","Mytiloides nodosoites, M. mytiloides","Landis & Cobban","10/01/1968","OF-68-5D","Engle ","",33.06405,-107.18725,"","Mytilodies mytiloides (Mantell) replaces Inoceramus labiatus of earlier reports (Cobban, W. A., OF-71-3Da, 4/1974).","02/18/2014","Inoceramus labiatus (Schlotheim) ","L68-57A","Mesaverde","Gyrodes cf. G. conradi Meek"
"5696",370,6818,"USA","NM ","Sierra","Cretaceous","From brown - wearthering concretionary sandstone forming lowest part of Mesaverde Formation of Kelly anf Silver.","",NA,"","Durham Ranch section, about SW1/4 NE1/4 sec. 30, T. 14 S., R. 3 W.","Mytiloides mytiloides (Mantell) (Schlotheim), Crassostra soleniscus (Meek), Modiolus sp., Plicatula sp., Cymbophora sp., Gyrodes cf. G. conradi Meek, Rostellinda? Sp., Indet. Molds.","Mytiloides nodosoites, M. mytiloides","Landis & Cobban","10/01/1968","OF-68-5D","Engle ","",33.06405,-107.18725,"","Mytilodies mytiloides (Mantell) replaces Inoceramus labiatus of earlier reports (Cobban, W. A., OF-71-3Da, 4/1974).","02/18/2014","Inoceramus labiatus (Schlotheim) ","L68-57A","Mesaverde","Rostellinda? Sp."
"5697",370,6818,"USA","NM ","Sierra","Cretaceous","From brown - wearthering concretionary sandstone forming lowest part of Mesaverde Formation of Kelly anf Silver.","",NA,"","Durham Ranch section, about SW1/4 NE1/4 sec. 30, T. 14 S., R. 3 W.","Mytiloides mytiloides (Mantell) (Schlotheim), Crassostra soleniscus (Meek), Modiolus sp., Plicatula sp., Cymbophora sp., Gyrodes cf. G. conradi Meek, Rostellinda? Sp., Indet. Molds.","Mytiloides nodosoites, M. mytiloides","Landis & Cobban","10/01/1968","OF-68-5D","Engle ","",33.06405,-107.18725,"","Mytilodies mytiloides (Mantell) replaces Inoceramus labiatus of earlier reports (Cobban, W. A., OF-71-3Da, 4/1974).","02/18/2014","Inoceramus labiatus (Schlotheim) ","L68-57A","Mesaverde","Indet. Molds."
"570",406,6269,"USA","WY","Carbon","Cretaceous","From lowest sandstone in Mesaverde Formation","Campanian",NA,"","NW¼NW¼SE¼ sec. 34, T. 21 N., R. 81 W.","Baculites sp","","Jame R. Gill","7/25/1967","OF-67-7D","Rattlesnake Pass","",41.74623,-106.50766,"","","02/18/2014","Baculites sp","","Mesaverde","Baculites sp"
"5711",407,6291,"USA","WY","Carbon","Cretaceous","From lowest sandstone in Mesaverde Formation","Campanian, Middle  80.04 MY",NA,"","NE¼SW¼NE¼ sec. 9, T. 20 N., R. 82 W.","Baculites obtusus Meek (early form)","","Jame R. Gill","7/29/1967","OF-67-7D","Coal Bank Basin","",41.72311,-106.61895,"","","02/18/2014","Baculites obtusus Meek (early form)","","Mesaverde","Baculites obtusus Meek "
"5721",409,1521,"USA","WY","Natrona","Cretaceous","From marine tongue 174 feet above basal sandstone of Mesaverde formation","Campanian",NA,"","Section No. 26, locality D. S ½ sec. 4, T. 33 N., R., 87 W.","Inoceramus pertenuis","","John R. Barwin","10/21/1957","","","",42.85619,-107.2707,"","","02/18/2014","Inoceramus pertenuis","","Mesaverde","Inoceramus pertenuis"
"5731",430,12800,"USA","UT","Wasatch","Cretaceous","From solf sandstone unit in lower part of Mesaverde Formation","Campanian",NA,"","Road cut at upper end of Currant Creek Reservoir at Low Pass Creek in the SE1/4NW1/4 sec. 31, T. 1 S., R. 10 W.","Inoceramus cf. I. Kleini Muller Pleuriocardia subcurtum (Meek)","","Merewether and Cobban","06.15.87","PG-87-2D","Jimmies Point  ","",40.35253,-111.05866,"","","02/18/2014","Inoceramus cf. I. Kleini Muller Pleuriocardia subcurtum (Meek)","","Mesaverde","Inoceramus cf. I. Kleini Muller Pleuriocardia subcurtum "
"5741",433,6454,"USA","WY","Albany","Cretaceous","From thin concretionary very fine grained sandstone forming 
lowest ledge of Mesaverde Formation (base of Mesaverde of 
Toots' section )","Campanian",NA,"","West of Rex Lake , NW¼NW¼NE¼SE¼ sec . 27 ,T .16N . , R . 77W ., Albany C°. , Wy°.","Ostrea russelli Landes","","W .A . Cobban","10/17/1967","OF-67-7D","Rex Lake","",41.32638,-106.01857,"","","02/18/2014","Ostrea russelli Landes","","Mesaverde","Ostrea russelli Landes"
"575",504,1523,"USA","WY","Natrona","Cretaceous","In fine-grained sandstone 350 feet above top of basal Mesaverde equivalent.","Campanian",NA,"","Section No. 29, locality C, Approximately in the SE¼ sec. 3, T. 32 N., R., 86 W.","Pteria nebrascana, Cymella montanensis, Ethmocardium whitei, Tellina equilateralis, Placenticeras sp.","","John R. Barwin","10/21/1957","","","",42.77021,-107.11847,"","","02/18/2014","Pteria nebrascana, Cymella montanensis, Ethmocardium whitei, Tellina equilateralis, Placenticeras sp.","","Mesaverde","Pteria nebrascana"
"5751",504,1523,"USA","WY","Natrona","Cretaceous","In fine-grained sandstone 350 feet above top of basal Mesaverde equivalent.","Campanian",NA,"","Section No. 29, locality C, Approximately in the SE¼ sec. 3, T. 32 N., R., 86 W.","Pteria nebrascana, Cymella montanensis, Ethmocardium whitei, Tellina equilateralis, Placenticeras sp.","","John R. Barwin","10/21/1957","","","",42.77021,-107.11847,"","","02/18/2014","Pteria nebrascana, Cymella montanensis, Ethmocardium whitei, Tellina equilateralis, Placenticeras sp.","","Mesaverde","Cymella montanensis"
"5752",504,1523,"USA","WY","Natrona","Cretaceous","In fine-grained sandstone 350 feet above top of basal Mesaverde equivalent.","Campanian",NA,"","Section No. 29, locality C, Approximately in the SE¼ sec. 3, T. 32 N., R., 86 W.","Pteria nebrascana, Cymella montanensis, Ethmocardium whitei, Tellina equilateralis, Placenticeras sp.","","John R. Barwin","10/21/1957","","","",42.77021,-107.11847,"","","02/18/2014","Pteria nebrascana, Cymella montanensis, Ethmocardium whitei, Tellina equilateralis, Placenticeras sp.","","Mesaverde","Ethmocardium whitei"
"5753",504,1523,"USA","WY","Natrona","Cretaceous","In fine-grained sandstone 350 feet above top of basal Mesaverde equivalent.","Campanian",NA,"","Section No. 29, locality C, Approximately in the SE¼ sec. 3, T. 32 N., R., 86 W.","Pteria nebrascana, Cymella montanensis, Ethmocardium whitei, Tellina equilateralis, Placenticeras sp.","","John R. Barwin","10/21/1957","","","",42.77021,-107.11847,"","","02/18/2014","Pteria nebrascana, Cymella montanensis, Ethmocardium whitei, Tellina equilateralis, Placenticeras sp.","","Mesaverde","Tellina equilateralis"
"5754",504,1523,"USA","WY","Natrona","Cretaceous","In fine-grained sandstone 350 feet above top of basal Mesaverde equivalent.","Campanian",NA,"","Section No. 29, locality C, Approximately in the SE¼ sec. 3, T. 32 N., R., 86 W.","Pteria nebrascana, Cymella montanensis, Ethmocardium whitei, Tellina equilateralis, Placenticeras sp.","","John R. Barwin","10/21/1957","","","",42.77021,-107.11847,"","","02/18/2014","Pteria nebrascana, Cymella montanensis, Ethmocardium whitei, Tellina equilateralis, Placenticeras sp.","","Mesaverde","Placenticeras sp."
"576",522,3341,"USA","WY","Carbon","Cretaceous","Lower part of Mesaverde Formation","Campanian",NA,"","SE1/4 SW1/4 SW1/4 sec. 19, T. 22 N., R. 88 W.","Ostrea sp., large gastropod undet","","A. D. Zapp","9/18/1961","OF-61-3D, 5D","","",41.85698,-107.3851,"","","02/18/2014","Ostrea sp., large gastropod undet","","Mesaverde","Ostrea sp."
"5761",522,3341,"USA","WY","Carbon","Cretaceous","Lower part of Mesaverde Formation","Campanian",NA,"","SE1/4 SW1/4 SW1/4 sec. 19, T. 22 N., R. 88 W.","Ostrea sp., large gastropod undet","","A. D. Zapp","9/18/1961","OF-61-3D, 5D","","",41.85698,-107.3851,"","","02/18/2014","Ostrea sp., large gastropod undet","","Mesaverde","large gastropod undet"
"577",694,2995,"USA","WY","","Cretaceous","Mesaverde ","Campanian",NA,"","NE1/4NW1/4 Sec. 12 T23N R80W. from 80' above lowest visible sandstone in Mesaverde FM. MB-1","Inoceramus subcompressus Meek & Hayden, Baculites n. sp. ","","A. D. Zapp","06/08/1961","OF-61-3D, 5D","","",41.98482,-106.35771,"","","02/18/2014","Inoceramus subcompressus Meek & Hayden, Baculites n. sp. ","","Mesaverde","Inoceramus subcompressus Meek & Hayden"
"5771",694,2995,"USA","WY","","Cretaceous","Mesaverde ","Campanian",NA,"","NE1/4NW1/4 Sec. 12 T23N R80W. from 80' above lowest visible sandstone in Mesaverde FM. MB-1","Inoceramus subcompressus Meek & Hayden, Baculites n. sp. ","","A. D. Zapp","06/08/1961","OF-61-3D, 5D","","",41.98482,-106.35771,"","","02/18/2014","Inoceramus subcompressus Meek & Hayden, Baculites n. sp. ","","Mesaverde","Baculites n. sp. "
"578",695,9154,"USA","NM","Socorro","Cretaceous ","Mesaverde Fm, from lowest ss","Campanian",NA,"","Carthage area SW1/4 sec. 10, T. 5 S, R. 2 E.","Mammites ","Mammites, Morrowites","W. A. Cobban ","8/15/1974","","Carthage   ","",33.8852,-106.7272,"","","02/18/2014","Mammites ","","Mesaverde","Mammites "
"579",696,352,"USA","WY","Albany","Cretaceous","Mesaverde fm. From sandstone About 50' above base","Campanian",NA,"","J. Ernest's ranch, sec. 3, T. 16 N., R. 76 W.","Inoceramus, Baculites, Placenticeras","","G.R. Scott","05/06/1955","0","Laramie ","James Lake",41.39,-105.91,"","","02/18/2014","Inoceramus, Baculites, Placenticeras","","Mesaverde","Inoceramus"
"5791",696,352,"USA","WY","Albany","Cretaceous","Mesaverde fm. From sandstone About 50' above base","Campanian",NA,"","J. Ernest's ranch, sec. 3, T. 16 N., R. 76 W.","Inoceramus, Baculites, Placenticeras","","G.R. Scott","05/06/1955","0","Laramie ","James Lake",41.39,-105.91,"","","02/18/2014","Inoceramus, Baculites, Placenticeras","","Mesaverde","Baculites"
"5792",696,352,"USA","WY","Albany","Cretaceous","Mesaverde fm. From sandstone About 50' above base","Campanian",NA,"","J. Ernest's ranch, sec. 3, T. 16 N., R. 76 W.","Inoceramus, Baculites, Placenticeras","","G.R. Scott","05/06/1955","0","Laramie ","James Lake",41.39,-105.91,"","","02/18/2014","Inoceramus, Baculites, Placenticeras","","Mesaverde","Placenticeras"
"580",698,14505,"USA","NM","Santa Fe","Cretaceous","Mesaverde Fm., , approximately the same level as D14504,100 yds to the north","Campanian",NA,"","SWSE sec 36 (projected) T. 15 N., R. 7 E., ","Inoceramus balticus Bohm","","S. C. Hook","11/05/2006","","Madrid","",35.483,-106.14746,"","","02/18/2014","","","Mesaverde","Inoceramus balticus Bohm"
"581",699,4719,"USA","WY","Natrona","Cretaceous","Mesaverde Fm., 120 ft above base.","Campanian",NA,"","SE¼ sec. 5, T. 34 N, R. 88 W.","Ostrea glabra Meek & Hayden","","Gill & Givens","1964","OF-64-15D","","",42.94413,-107.40327,"","","02/18/2014","Ostrea glabra Meek & Hayden","","Mesaverde","Ostrea glabra Meek & Hayden"
"582",700,4730,"USA","WY","Natrona","Cretaceous","Mesaverde Fm., 125 ft above base.","Campanian",NA,"","NE¼NE¼ sec.15, T. 34 N.., R. 89 W. Same locality as D4727","Ostrea glabra  Meek & Hayden",""," Givens","1964","OF-64-15D","","",42.92419,-107.48499,"","","02/18/2014","Ostrea glabra  Meek & Hayden","","Mesaverde","Ostrea glabra  Meek & Hayden"
"583",701,4720,"USA","WY","Natrona","Cretaceous","Mesaverde Fm., 180 ft above base.","Campanian",NA,"","SE¼ sec. 5, T. 34 N, R. 88 W. Same locality as D4719","Ostrea sp., Brachidontes sp.","","Gill & Givens","1964","OF-64-15D","","",42.94413,-107.40327,"","","02/18/2014","Ostrea sp., Brachidontes sp.","","Mesaverde","Ostrea sp."
"5831",701,4720,"USA","WY","Natrona","Cretaceous","Mesaverde Fm., 180 ft above base.","Campanian",NA,"","SE¼ sec. 5, T. 34 N, R. 88 W. Same locality as D4719","Ostrea sp., Brachidontes sp.","","Gill & Givens","1964","OF-64-15D","","",42.94413,-107.40327,"","","02/18/2014","Ostrea sp., Brachidontes sp.","","Mesaverde","Brachidontes sp."
"584",702,1066,"USA","CO","Pitkin","Cretaceous","Mesaverde formation , from calcareous concretions 25-30 feet above basal sandstone .","Campanian",NA,"","Beside road to North Thompson Creek coal mine 6 mile southwest of Carbondale in sec .26,T.8S.,R.89 W.","Inoceramus ,Solenoceras.","","W.A. Cobban, G.R. Scott","9/25/1956","0","","Stony Ridge",39.029,-107.2965,"","","02/18/2014","Inoceramus ,Solenoceras.","","Mesaverde","Inoceramus "
"5841",702,1066,"USA","CO","Pitkin","Cretaceous","Mesaverde formation , from calcareous concretions 25-30 feet above basal sandstone .","Campanian",NA,"","Beside road to North Thompson Creek coal mine 6 mile southwest of Carbondale in sec .26,T.8S.,R.89 W.","Inoceramus ,Solenoceras.","","W.A. Cobban, G.R. Scott","9/25/1956","0","","Stony Ridge",39.029,-107.2965,"","","02/18/2014","Inoceramus ,Solenoceras.","","Mesaverde","Solenoceras."
"585",703,5444,"USA","WY","Carbon","Cretaceous","Mesaverde formation, about 33 ft above base","Campanian",NA,"","NW¼NW¼SE¼SW¼ sec. 11, T. 26 N., R. 89 W.","Ostrea sp.,, Anomia sp., Corbula sp.","","M. W. Reynolds","07/11/1966","OF-66-10D","Lamont and Bairoil ","",42.23589,-107.43927,"","","02/18/2014","Ostrea sp.,, Anomia sp., Corbula sp.","","Mesaverde","Ostrea sp."
"5851",703,5444,"USA","WY","Carbon","Cretaceous","Mesaverde formation, about 33 ft above base","Campanian",NA,"","NW¼NW¼SE¼SW¼ sec. 11, T. 26 N., R. 89 W.","Ostrea sp.,, Anomia sp., Corbula sp.","","M. W. Reynolds","07/11/1966","OF-66-10D","Lamont and Bairoil ","",42.23589,-107.43927,"","","02/18/2014","Ostrea sp.,, Anomia sp., Corbula sp.","","Mesaverde",""
"5852",703,5444,"USA","WY","Carbon","Cretaceous","Mesaverde formation, about 33 ft above base","Campanian",NA,"","NW¼NW¼SE¼SW¼ sec. 11, T. 26 N., R. 89 W.","Ostrea sp.,, Anomia sp., Corbula sp.","","M. W. Reynolds","07/11/1966","OF-66-10D","Lamont and Bairoil ","",42.23589,-107.43927,"","","02/18/2014","Ostrea sp.,, Anomia sp., Corbula sp.","","Mesaverde","Anomia sp."
"5853",703,5444,"USA","WY","Carbon","Cretaceous","Mesaverde formation, about 33 ft above base","Campanian",NA,"","NW¼NW¼SE¼SW¼ sec. 11, T. 26 N., R. 89 W.","Ostrea sp.,, Anomia sp., Corbula sp.","","M. W. Reynolds","07/11/1966","OF-66-10D","Lamont and Bairoil ","",42.23589,-107.43927,"","","02/18/2014","Ostrea sp.,, Anomia sp., Corbula sp.","","Mesaverde","Corbula sp."
"586",704,5172,"USA","WY","Carbon","Cretaceous","Mesaverde Formation, about 50 feet about base","Campanian",NA,"","NE¼NW¼SW¼ sec. 11, T. 24 N., R. 89 W","Ostrea sp., Corcula sp.","","Reynolds","10/16/1965","OF-65-11D","Separation Rim","",42.06505,-107.42385,"","","02/18/2014","Ostrea sp., Corcula sp.","","Mesaverde","Ostrea sp."
"5861",704,5172,"USA","WY","Carbon","Cretaceous","Mesaverde Formation, about 50 feet about base","Campanian",NA,"","NE¼NW¼SW¼ sec. 11, T. 24 N., R. 89 W","Ostrea sp., Corcula sp.","","Reynolds","10/16/1965","OF-65-11D","Separation Rim","",42.06505,-107.42385,"","","02/18/2014","Ostrea sp., Corcula sp.","","Mesaverde","Corcula sp."
"587",705,7762,"USA","CO ","San Miguel","Cretaceous","Mesaverde Formation, about 70 ft above base ","Campanian",NA,"","NE1/4 NW1/4 NE1/4 sec. 10, T. 43 N., R. 16 W.","Baculites aquilaensis Reeside (late form)","","J. R. Gill and F. J. James ","9/15/1970","OF-70-9D","Basin","",38.00967,-108.61809,"","","02/18/2014","Baculites aquilaensis Reeside (late form)","","Mesaverde","Baculites aquilaensis Reeside "
"588",706,2368,"USA","CO","Rio Blanco","Cretaceous","Mesaverde formation, approximately 40 feet below lowest exposed sandstone tongue.","Campanian",NA,"","Douglas Creek, in sec. 33, T. 2 S., R. 101 W.","Pinna sp., Inoceramus subcompresus Meek & Hayden, Pteria sp., Placenticeras cf. P. meeki Boehm","","P. T. Hayes, A. D. Zapp","9/20/1959","F-59-11D, 18D","","White Coyote Draw",39.8331,-108.7385,"","","02/18/2014","Pinna sp., Inoceramus subcompresus Meek & Hayden, Pteria sp., Placenticeras cf. P. meeki Boehm","","Mesaverde","Pinna sp."
"5881",706,2368,"USA","CO","Rio Blanco","Cretaceous","Mesaverde formation, approximately 40 feet below lowest exposed sandstone tongue.","Campanian",NA,"","Douglas Creek, in sec. 33, T. 2 S., R. 101 W.","Pinna sp., Inoceramus subcompresus Meek & Hayden, Pteria sp., Placenticeras cf. P. meeki Boehm","","P. T. Hayes, A. D. Zapp","9/20/1959","F-59-11D, 18D","","White Coyote Draw",39.8331,-108.7385,"","","02/18/2014","Pinna sp., Inoceramus subcompresus Meek & Hayden, Pteria sp., Placenticeras cf. P. meeki Boehm","","Mesaverde","Inoceramus subcompresus Meek & Hayden"
"5882",706,2368,"USA","CO","Rio Blanco","Cretaceous","Mesaverde formation, approximately 40 feet below lowest exposed sandstone tongue.","Campanian",NA,"","Douglas Creek, in sec. 33, T. 2 S., R. 101 W.","Pinna sp., Inoceramus subcompresus Meek & Hayden, Pteria sp., Placenticeras cf. P. meeki Boehm","","P. T. Hayes, A. D. Zapp","9/20/1959","F-59-11D, 18D","","White Coyote Draw",39.8331,-108.7385,"","","02/18/2014","Pinna sp., Inoceramus subcompresus Meek & Hayden, Pteria sp., Placenticeras cf. P. meeki Boehm","","Mesaverde","Pteria sp."
"5883",706,2368,"USA","CO","Rio Blanco","Cretaceous","Mesaverde formation, approximately 40 feet below lowest exposed sandstone tongue.","Campanian",NA,"","Douglas Creek, in sec. 33, T. 2 S., R. 101 W.","Pinna sp., Inoceramus subcompresus Meek & Hayden, Pteria sp., Placenticeras cf. P. meeki Boehm","","P. T. Hayes, A. D. Zapp","9/20/1959","F-59-11D, 18D","","White Coyote Draw",39.8331,-108.7385,"","","02/18/2014","Pinna sp., Inoceramus subcompresus Meek & Hayden, Pteria sp., Placenticeras cf. P. meeki Boehm","","Mesaverde","Placenticeras cf. P. meeki Boehm"
"589",707,6268,"USA","WY","Carbon","Cretaceous","Mesaverde Formation, from 20 ft below top of 70-ft glauconitic sandstone at base","Campanian, Middle  80.04 MY",NA,"","NE¼NE¼ sec. 21, T. 20 N., R. 82 W.","Baculites obtusus Meek (early form)","","Jame R. Gill","7/25/1967","OF-67-7D","Rattlesnake Pass","",41.69654,-106.61513,"","","02/18/2014","Baculites obtusus Meek (early form)","","Mesaverde","Baculites obtusus Meek "
"590",708,6270,"USA","WY","Carbon","Cretaceous","Mesaverde Formation, from next to lowest sandstone (3d from top)","Campanian",NA,"","SE¼NW¼ sec. 34, T. 21 N., R. 81 W.","Baculites sp","","Jame R. Gill","7/25/1967","OF-67-7D","Rattlesnake Pass ","",41.74892,-106.51181,"","","02/18/2014","Baculites sp","","Mesaverde","Baculites sp"
"591",709,1391,"USA","WY","Albany","Cretaceous","Mesaverde formation, from ridge of brown sandstone concretions 312-314' below Pine Ridge sandstone","Campanian",NA,"","East side of gulch, 2.6 miles southeast of Rock River, near center of NW¼NW¼ sec.16, T. 20N., R. 76 W. Same locality as D 1389.","Inoceramus","","G.R. Scott, W. A. Cobban","5/29/1957","","Rock River ","",41.71351,-105.94525,"","","02/18/2014","Inoceramus","","Mesaverde","Inoceramus"
"592",710,5000,"USA","WY","Carbon","Cretaceous","Mesaverde Formation, from small dark-brown ferruginous sandstone concretions 20 feet above base of middle marine member. ","Campanian",NA,"","Center of NE¼SE¼ sec. 19, T. 23 N., R. 79 W.","Nuculana evansi (Meek & Hayden), Nucula sp., Inoceramus aff. I. Turgidus Anderson, Pteria linguaeformis (Evans & Shurmard)","","W. A. Cobban, Gill and E. A. Merewether","06/09/1965","","","",41.94886,-106.32905,"PP 667","","02/18/2014","Nuculana evansi (Meek & Hayden), Nucula sp., Inoceramus aff. I. Turgidus Anderson, Pteria linguaeformis (Evans & Shurmard)","","Mesaverde","Nuculana evansi "
"5921",710,5000,"USA","WY","Carbon","Cretaceous","Mesaverde Formation, from small dark-brown ferruginous sandstone concretions 20 feet above base of middle marine member. ","Campanian",NA,"","Center of NE¼SE¼ sec. 19, T. 23 N., R. 79 W.","Nuculana evansi (Meek & Hayden), Nucula sp., Inoceramus aff. I. Turgidus Anderson, Pteria linguaeformis (Evans & Shurmard)","","W. A. Cobban, Gill and E. A. Merewether","06/09/1965","","","",41.94886,-106.32905,"PP 667","","02/18/2014","Nuculana evansi (Meek & Hayden), Nucula sp., Inoceramus aff. I. Turgidus Anderson, Pteria linguaeformis (Evans & Shurmard)","","Mesaverde","Nucula sp."
"5922",710,5000,"USA","WY","Carbon","Cretaceous","Mesaverde Formation, from small dark-brown ferruginous sandstone concretions 20 feet above base of middle marine member. ","Campanian",NA,"","Center of NE¼SE¼ sec. 19, T. 23 N., R. 79 W.","Nuculana evansi (Meek & Hayden), Nucula sp., Inoceramus aff. I. Turgidus Anderson, Pteria linguaeformis (Evans & Shurmard)","","W. A. Cobban, Gill and E. A. Merewether","06/09/1965","","","",41.94886,-106.32905,"PP 667","","02/18/2014","Nuculana evansi (Meek & Hayden), Nucula sp., Inoceramus aff. I. Turgidus Anderson, Pteria linguaeformis (Evans & Shurmard)","","Mesaverde","Inoceramus aff. I. Turgidus Anderson"
