"","Column1","Dnum","Country","State","County","Age","Formation","Stage","Age_Date","AmmoniteZone","LocDescr","Resume_of_Fauna","IndexFossil","Collector","Date","EandR","Map","USGS7.5","Lat_Pub","Long_Pub","Reference","Comments","last_modified","Orig_Resume_Fauna","FieldNum","FormationNew","species"
"15",29,13608,"USA","CO","Pueblo","Upper Cretaceous","Apache Creek Sandy Member, from orange, ferruginous ls. Concretions 29' below top","Campanian, Middle  80.04 MY",NA,"","South of Platteville Boulevard at CN1/2SW1/4 sec. 1, T. 20 S., R. 65 W.","Baculites obtusus","","Cobban","03/10/1995","0","Northwest Pueblo  ","",38.33657,-104.62185,"","","02/18/2014","Baculites obtusus","","Apache","Baculites obtusus"
"16",30,1448,"USA","CO","Huerfano","Cretaceous","Apache sandstone Member of Pierre shale.","",NA,"","Hillside just south of road and on south side of Apache Creek valley 15.7 miles north-northwest of Walsenburg in SE¼SW¼ sec. 27, T. 25 S., R. 67 W.","Inoceramus, Scaphites, Baculites","","W. A. Cobban, T. G. McLaughlin","5/24/1956","","","",37.83857,-104.8783,"","","02/18/2014","Inoceramus, Scaphites, Baculites","","Apache","Inoceramus"
"161",30,1448,"USA","CO","Huerfano","Cretaceous","Apache sandstone Member of Pierre shale.","",NA,"","Hillside just south of road and on south side of Apache Creek valley 15.7 miles north-northwest of Walsenburg in SE¼SW¼ sec. 27, T. 25 S., R. 67 W.","Inoceramus, Scaphites, Baculites","","W. A. Cobban, T. G. McLaughlin","5/24/1956","","","",37.83857,-104.8783,"","","02/18/2014","Inoceramus, Scaphites, Baculites","","Apache","Scaphites"
"162",30,1448,"USA","CO","Huerfano","Cretaceous","Apache sandstone Member of Pierre shale.","",NA,"","Hillside just south of road and on south side of Apache Creek valley 15.7 miles north-northwest of Walsenburg in SE¼SW¼ sec. 27, T. 25 S., R. 67 W.","Inoceramus, Scaphites, Baculites","","W. A. Cobban, T. G. McLaughlin","5/24/1956","","","",37.83857,-104.8783,"","","02/18/2014","Inoceramus, Scaphites, Baculites","","Apache","Baculites"
"17",385,2969,"USA","CO","Huerfano","Cretaceous","From gray ls concrs. 2' below base of Apache sandstone","",NA,"","SE1/4 sec. 8, T. 27 S., R. 68W.","Baculites","","W. A. Cobban","5/25/1961","0","","",37.71225,-105.0192,"","","02/18/2014","Baculites","","Apache","Baculites"
"18",761,1287,"USA","CO","Huerfano","Cretaceous","Pierre shale , form yellow calcareous concfetions just above Apache sandstone member.","",NA,"","1.5 miles southwest of Badito, in E½ sec. 7, T. 27 S., 68 W. Same locality as D 1286.","Inoceramus","","W. A. Cobban","5/25/1956","0","","",37.71663,-105.03708,"","","02/18/2014","Inoceramus","","Apache","Inoceramus"
"19",764,3461,"USA","CO","Huerfano","Cretaceous","Pierre Shale above Apache sanstone member.","",NA,"","SE1/4 sec. 30, T. 25 S., R. 67 W.","Pteria, Baculites, Inoceramus","","G.R. Scott","9/15/1961","0","Walsenburg 1:125,000  ","",37.84122,-104.92717,"","","02/18/2014","Pteria, Baculites, Inoceramus","","Apache","Pteria"
"191",764,3461,"USA","CO","Huerfano","Cretaceous","Pierre Shale above Apache sanstone member.","",NA,"","SE1/4 sec. 30, T. 25 S., R. 67 W.","Pteria, Baculites, Inoceramus","","G.R. Scott","9/15/1961","0","Walsenburg 1:125,000  ","",37.84122,-104.92717,"","","02/18/2014","Pteria, Baculites, Inoceramus","","Apache","Baculites"
"192",764,3461,"USA","CO","Huerfano","Cretaceous","Pierre Shale above Apache sanstone member.","",NA,"","SE1/4 sec. 30, T. 25 S., R. 67 W.","Pteria, Baculites, Inoceramus","","G.R. Scott","9/15/1961","0","Walsenburg 1:125,000  ","",37.84122,-104.92717,"","","02/18/2014","Pteria, Baculites, Inoceramus","","Apache","Inoceramus"
"20",765,3462,"USA","CO","Huerfano","Cretaceous","Pierre Shale above Apache sanstone member.","",NA,"","North of N. Apache Creek on W facing hill in SE1/4 sec. 30, T. 25 S., R. 67 W.","Baculites, Inoceramus","","G.R. Scott","9/15/1961","0","Walsenburg 1:125,000  ","",37.84122,-104.92717,"","","02/18/2014","Baculites, Inoceramus","","Apache","Baculites"
