Dnum,Country,State,County,Age,Formation,Stage,Age_Date,AmmoniteZone,LocDescr,Resume_of_Fauna,IndexFossil,Collector,Date,EandR,Map,USGS7.5,Lat_Pub,Long_Pub,Reference,Comments,last_modified,Orig_Resume_Fauna,FieldNum
1434,USA,WY,Big Horn,Cretaceous,"From calc. septarian concretions that forming a ledge 1,950 feet above base of Cody shale.","Campanian, Lower about 81.7 MY",,,"NE¼NW¼ sec. 29, T. 55 N., R. 95 W. Same locality as D 1433.","Inoceramus aff. I. subcompressus Meek & Hayden, Placenticeras meeki Boehm, Scaphites hippocrepis (Dekay), Baculites haresi Reeside.",,Robert L. Rioux,1957,,North Emblem Reservoir,,44.71368,-108.31747,,,02/18/2014,"Inoceramus aff. I. subcompressus Meek & Hayden, Placenticeras meeki Boehm, Scaphites hippocrepis (Dekay), Baculites haresi Reeside.",
4187,USA,WY,Big Horn,Cretaceous,From calcareous sandstone concretions at top of Cody Shale,Campanian,,,"NE1/4 SE1/4 NW1/4 sec. 19, T. 49 N., R. 91 W. Same locality as D4186","Thyasira n. sp., Baculites sp., Placenticeras cf. P. syrtale (Morton)",,"J. R. Gill, R. Vaughn",7/28/1962,,,,44.20699,-107.8341,,,02/18/2014,"Thyasira n. sp., Baculites sp., Placenticeras cf. P. syrtale (Morton)",
2131,USA,CO,Delta,Cretaceous,From concretions in siltstone about 350 feet below top of Mancos shale,Campanian,,,"About 4 miles west-northwest of Cedaredge, ",Inoceramus sublaevis Hall and Meek,,A. D. Zapp,6/7/1959,"F-59-11D, 18D",,Paonia,38.92321,-108.00797,,,02/18/2014,Inoceramus sublaevis Hall and Meek,
3059,USA,WY,Lincoln,Cretaceous,From conglomeratic sandstone about 200 feet above middle member of Hilliard shale.,,,,"SE1/4NE1/4 sec. 28, T. 21 N., R. 116 W.","Baculites codyensis Reeside, Baculites asper Morton.",,W. W. Rubey,7/28/1961,0,Kemmerer,,41.77242,-110.58037,,,02/18/2014,"Baculites codyensis Reeside, Baculites asper Morton.",
1747,USA,CO,Rio Blanco,Cretaceous,From float concretions unquestionably from thick tongue of Mancos shale above lowest big ledge of Mesaverde sandstone,Campanian,,,"Sec. 27, T. 3 N., R. 99 W.",Inoceramus subcompressus,,A. D. Zapp,6/16/1955,,,Rough Gulch,40.1995,-108.49,,,02/18/2014,Inoceramus subcompressus,
3422,USA,CO,Moffat,Cretaceous,From gray limestone concretions 270 feet below top of Mancos Shale and 130 feet below a persistent bed of limestone,"Campanian, Middle  80.04 MY",,,"Vermilion Creek area in SE1/4 NW1/4 sec. 7, T. 10 N., R. 100 W.","Inoceramus sp., Baculites obtusus Meek",Baculites obtusus,W. A. Cobban,8/9/1961,0,,,40.84266,-108.68072,,,02/18/2014,"Inoceramus sp., Baculites obtusus Meek",
3196,USA,WY,Natrona,Cretaceous,From gray limestone concretions in Steele Shale 150 feet below Fishtooth sandstone.,Campanian,,,"N1/2 sec. 34, T. 40 N., R. 79 W.","Inoceramus sp., Baculites aquilaensis Reeside",,J. G. Gill,8/10/61; 1960,0,Midwest,,43.39521,-106.32127,,,02/18/2014,"Inoceramus sp., Baculites aquilaensis Reeside",
3200,USA,WY,Natrona,Upper Cretaceous,From gray limestone concretions in Steele Shale 385 feet above Fishtooth sandstone.,"Campanian, Lower about 80.5 MY",,,"N1/2 sec. 34, T. 40 N., R. 79 W.","Baculites sp. (weak flank ribs), Scaphites  hippocrepis (Dekay)",,J. G. Gill,8/10/61; 1960,0,Midwest,,43.3947,-106.3223,PP 619,,02/18/2014,"Baculites sp. (weak flank ribs), Scaphites  hippocrepis (Dekay)",
3201,USA,WY,Natrona,Cretaceous,From gray limestone concretions in Steele Shale 405 feet above Fishtooth sandstone.,"Campanian, Lower about 80.5 MY",,,"N1/2 sec. 34, T. 40 N., R. 79 W.",Baculites sp. (weak flank ribs),,J. G. Gill,8/10/61; 1960,0,Midwest,,43.39521,-106.32127,,,02/18/2014,Baculites sp. (weak flank ribs),
3197,USA,WY,Natrona,Upper Cretaceous,From gray limestone concretions in Steele Shale 75 feet above Fishtooth sandstone.,"Campanian, Lower about 81.7 MY",,,"N1/2 sec. 34, T. 40 N., R. 79 W.","Inoceramus proximus Tuomey, Baculites aquilaensis Reeside, Scaphites hippocrepis (Dekay), Scaphites aquilaensis Reeside",Scaphites hippocrepis,J. G. Gill,8/10/61; 1960,0,Midwest,,43.3947,-106.3223,"PP 667, PP 619",,02/18/2014,"Inoceramus proximus Tuomey, Baculites aquilaensis Reeside, Scaphites hippocrepis (Dekay), Scaphites aquilaensis Reeside",
