Column1,Dnum,Country,State,County,Age,Formation,Stage,Age_Date,AmmoniteZone,LocDescr,Resume_of_Fauna,IndexFossil,Collector,Date,EandR,Map,USGS7.5,Lat_Pub,Long_Pub,Reference,Comments,last_modified,Orig_Resume_Fauna,FieldNum,FormationNew
754,9209,USA,AR,Howard,Cretaceous ,Phosphatic nodule zone near base of Annona Chalk,Campanian,NA,,"From floor of coment plant quarry at Okay, NW1/4 SW1/4 sec. 30, T. 11 S., R. 27 W.",Heteromopph ammonoids ,,"B.F.Clardy, R.E.Burkholder, and W.A. Cobban ",09/11/1974,CD-74-4D,Mineral Springs South   ,,33.7698,-93.93389,,,02/18/2014,Heteromopph ammonoids ,,Annona
26,13607,USA,CO,Pueblo,Upper Cretaceous,"Apache Creek Sandy Mbr., from a rusty to reddish ferruginous concretionary bed 32' below top",,NA,,"Beside service road just west of Interstate 25 SW1/4NE1/4SE1/4SW1/4 sec. 1, T. 20 S., R. 65 W.",Ichthyodectes scales,,Cobban,03/11/1995,0,Northwest Pueblo  ,,38.33332,-104.61889,,,02/18/2014,Ichthyodectes scales,,Apache
27,13606,USA,CO,Pueblo,Upper Cretaceous,"Apache Creek Sandy Mbr., from large yellow-tan ls. Concretions 6.5 feet below top","Campanian, Middle  80.04 MY",NA,,"Just south of Platteville Boulevard N1/2N1/2SW1/4 sec. 1, T. 20 S., R. 65 W.",Baculites obtusus,,Cobban,03/10/1995,0,Northwest Pueblo  ,,38.33747,-104.62168,,,02/18/2014,Baculites obtusus,,Apache
28,4845,USA,CO,Fremont,Cretaceous,Apache Creek Sandy Member,"Campanian, Middle  80.04 MY",NA,,"SW¼NW¼SE¼ sec. 9, T. 18S., R.70W.",Baculites obtusus,,G. R. Gill,06/02/1965,,Canon City ,,38.49499,-105.22596,,,02/18/2014,Baculites obtusus,,Apache
29,13608,USA,CO,Pueblo,Upper Cretaceous,"Apache Creek Sandy Member, from orange, ferruginous ls. Concretions 29' below top","Campanian, Middle  80.04 MY",NA,,"South of Platteville Boulevard at CN1/2SW1/4 sec. 1, T. 20 S., R. 65 W.",Baculites obtusus,,Cobban,03/10/1995,0,Northwest Pueblo  ,,38.33657,-104.62185,,,02/18/2014,Baculites obtusus,,Apache
30,1448,USA,CO,Huerfano,Cretaceous,Apache sandstone Member of Pierre shale.,,NA,,"Hillside just south of road and on south side of Apache Creek valley 15.7 miles north-northwest of Walsenburg in SE¼SW¼ sec. 27, T. 25 S., R. 67 W.","Inoceramus, Scaphites, Baculites",,"W. A. Cobban, T. G. McLaughlin",5/24/1956,,,,37.83857,-104.8783,,,02/18/2014,"Inoceramus, Scaphites, Baculites",,Apache
385,2969,USA,CO,Huerfano,Cretaceous,From gray ls concrs. 2' below base of Apache sandstone,,NA,,"SE1/4 sec. 8, T. 27 S., R. 68W.",Baculites,,W. A. Cobban,5/25/1961,0,,,37.71225,-105.0192,,,02/18/2014,Baculites,,Apache
761,1287,USA,CO,Huerfano,Cretaceous,"Pierre shale , form yellow calcareous concfetions just above Apache sandstone member.",,NA,,"1.5 miles southwest of Badito, in E½ sec. 7, T. 27 S., 68 W. Same locality as D 1286.",Inoceramus,,W. A. Cobban,5/25/1956,0,,,37.71663,-105.03708,,,02/18/2014,Inoceramus,,Apache
764,3461,USA,CO,Huerfano,Cretaceous,Pierre Shale above Apache sanstone member.,,NA,,"SE1/4 sec. 30, T. 25 S., R. 67 W.","Pteria, Baculites, Inoceramus",,G.R. Scott,9/15/1961,0,"Walsenburg 1:125,000  ",,37.84122,-104.92717,,,02/18/2014,"Pteria, Baculites, Inoceramus",,Apache
765,3462,USA,CO,Huerfano,Cretaceous,Pierre Shale above Apache sanstone member.,,NA,,"North of N. Apache Creek on W facing hill in SE1/4 sec. 30, T. 25 S., R. 67 W.","Baculites, Inoceramus",,G.R. Scott,9/15/1961,0,"Walsenburg 1:125,000  ",,37.84122,-104.92717,,,02/18/2014,"Baculites, Inoceramus",,Apache
766,3463,USA,CO,Huerfano,Cretaceous,Pierre Shale above Apache sanstone member.,,NA,,"SE1/4 sec. 30, T. 25 S., R. 67 W.","Baculites, Pteria",,G.R. Scott,9/15/1961,0,"Walseneurg 1:125,000  ",,37.84122,-104.92717,,,02/18/2014,"Baculites, Pteria",,Apache
771,4861,USA,CO,Fremont,Cretaceous,"Pierre Shale, 112' above top of Apache sandstone Member.",,NA,,"North Apache Creek, on west race of hill in SE¼ sec. 30, T. 25S., R. 67W. North Apache Creek section","Pteria, Baculites",,Gill & others,06/03/1965,,Walsenburg,,38.4507,-104.92751,,,02/18/2014,"Pteria, Baculites",,Apache
772,4862,USA,CO,Fremont,Cretaceous,"Pierre Shale, 136' above top of Apache sandstone Member.",,NA,,"North Apache Creek, on west race of hill in SE¼ sec. 30, T. 25S., R. 67W. North Apache Creek section",Baculites,,"Scott, Burkholder",06/03/1965,,Walsenburg,,38.4507,-104.92751,,,02/18/2014,Baculites,,Apache
776,4859,USA,CO,Fremont,Cretaceous,"Pierre Shale, 72-92' above top of Apache sandstone Member.",,NA,,"North Apache Creek, on west race of hill in SE¼ sec. 30, T. 25S., R. 67W. North Apache Creek section",Baculites,,Gill & others,06/03/1965,,Walsenburg,,38.4507,-104.92751,,,02/18/2014,Baculites,,Apache
787,4853,USA,CO,Fremont,Cretaceous,"Pierre Shale, Apache Sandy Member","Campanian, Middle  80.04 MY",NA,,"Four miles east of canon city, a little north of Highway 50, SE¼NE¼SE¼ sec. 25, T.18S, R.70W.",Baculites obtusus,,W.A. Cobban,4/23/1965,,Canon City ,,38.4512,-105.16417,,,02/18/2014,Baculites obtusus,,Apache
788,4864,USA,CO,Custer,Cretaceous,"Pierre Shale, float from about 90' below top of Apache Creek sandstone Mbr.","Campanian, Middle  80.04 MY",NA,,"NW¼NE¼ sec. 13, T.21 N., R. 69 W","Inoceramus, Baculites obtusus",,W.A. Cobban,06/03/1965,,,,41.79762,-105.0672,,,02/18/2014,"Inoceramus, Baculites obtusus",,Apache
793,4858,USA,CO,Fremont,Cretaceous,"Pierre Shale, from a ferruginous layer 61' above Apache sandstone Member",,NA,,"North Apache Creek, on west race of hill in SE¼ sec. 30, T. 25S., R. 67W. North Apache Creek section","Inoceramus, Baculites",,"Gill, Scott, Butkholder",06/03/1965,,Walsenburg,,38.4507,-104.92751,,,02/18/2014,"Inoceramus, Baculites",,Apache
797,4857,USA,CO,Fremont,Cretaceous,"Pierre Shale, from an ironstone about 50' above top of Apache sandstone",,NA,,"North Apache Creek, on west race of hill in SE¼ sec. 30, T. 25S., R. 67W. North Apache Creek section",Scaphites (Hoploscaphites),,J. R. Gill ,06/03/1965,,Walsenburg,,38.4507,-104.92751,,,02/18/2014,Scaphites (Hoploscaphites),,Apache
835,13613,USA,CO,Pueblo,Upper Cretaceous,"Pierre Shale, from orange-yellow ls. Concretions near top of Apache Creek Silty Member","Campanian, Middle  80.04 MY",NA,,"Steele Hollow in area between the railroad tracks C E1/2SE1/4 sec. 12, T. 19 S., R. 65 W.",Baculites obtusus,Baculites obtusus,Cobban,1994,0,Pinon  ,,38.40728,-104.61052,,,02/18/2014,Baculites obtusus,,Apache
839,13602,USA,CO,Pueblo,Upper Cretaceous,"Pierre Shale, from prominent, closely spaced, orange-yellow-weathering limestone concretions near top of Apache Creek Sandy Member","Campanian, Middle  80.04 MY",NA,,"Scraped area E1/2NE1/4NW1/4 sec. 12, T. 20 S., R. 65 W.",Baculites obtusus,,Cobban,10/14/1994,0,Northwest Pueblo  ,,38.32908,-104.6192,,,02/18/2014,Baculites obtusus,,Apache
846,13595,USA,CO,Pueblo,Upper Cretaceous,"Pierre Shale, from small tan siltstone concretions near top of Apache Creek Sandy Member","Campanian, Middle  80.04 MY",NA,,"Along road in north part of SW1/4 sec. 1, T. 20 S., R. 65 W.",Baculites obtusus,,Cobban,10/14/1994,0,Northwest Pueblo  ,,38.33638,-104.61928,,,02/18/2014,Baculites obtusus,,Apache
851,1286,USA,CO,Huerfano,Cretaceous,"Pierre shale, from tepee limestone 25' below Apache sandstone member.",,NA,,"1.5 miles southwest of Badito, in E½ sec. 7, T. 27 S., 68 W.",Baculites,,W. A. Cobban,5/25/1956,0,,,37.71663,-105.03708,,,02/18/2014,Baculites,,Apache
854,13603,USA,CO,Pueblo,Upper Cretaceous,"Pierre Shale, from uppermost part of Apache Ss Mbr-from a few feet of sandy beds overlying the prominent orange-yellow ls. Concretion bed",,NA,,"Scraped area E1/2NE1/4NW1/4 sec. 12, T. 20 S., R. 65 W.",Baculites,,Cobban,10/14/1994,0,Northwest Pueblo  ,,38.32908,-104.6192,,,02/18/2014,Baculites,,Apache
1066,13609,USA,CO,Pueblo,Upper Cretaceous,Uppermost 6' of Apache Creek Sandy Mbr,"Campanian, Middle  80.04 MY",NA,,"Old scrapad area just south of Platteville Boulevard NE1/4NW1/4SW1/4 sec. 1, T. 20 S., R. 65 W.",Baculites obtusus,,Cobban,03/10/1995,0,Northwest Pueblo  ,,38.33729,-104.62316,,,02/18/2014,Baculites obtusus,,Apache
400,2327,USA,NE,Jefferson,Cretaceous,From limestone concretions just beneath Ardmore bentonite bed.,,NA,,"East line of quadrangle, just north of center of sec. 5, T. 2 S., R. 70 W.",Baculites ,,J. R. Gill,1959,,,,43.022,-103.6759,,,02/18/2014,Baculites ,,Ardmore
37,7218,USA,UT,Uintah,Cretaceous,Asphalt Ridge Sandstone (150' above D7217),"Campanian, Lower about 80.5 MY",NA,,"NW1/4NE1/4 sec. 30, T. 4 S., R 21 E.",Baculites sp. (weak flank ribs),,Gill and Burkholder,1969,OF-69-18D,Vernal NE ,,40.44677,-109.60284,,,02/18/2014,Baculites sp. (weak flank ribs),,Asphalt Ridge
38,7232,USA,UT,Uintah,Cretaceous,Asphalt Ridge Sandstone (float),"Campanian, Lower about 80.5 MY",NA,,"NE1/4NE1/4NE1/4 sec. 25, T. 4 S., R 20 E. at asphalt pit",Baculites sp. (weak flank ribs),,"Gill, Burkholder, Cobban",1969,OF-69-18D,Vernal NE ,,40.44635,-109.61477,,,02/18/2014,Baculites sp. (weak flank ribs),,Asphalt Ridge
39,7217,USA,UT,Uintah,Cretaceous,Asphalt Ridge Sandstone (top),"Campanian, Lower about 80.5 MY",NA,,"NW1/4NE1/4 sec. 30, T. 4 S., R 21 E.",Baculites sp. (weak flank ribs),,Gill,1969,OF-69-18D,Vernal NE ,,40.44677,-109.60284,,,02/18/2014,Baculites sp. (weak flank ribs),,Asphalt Ridge
57,3420,USA,UT,Daggett,Upper Cretaceous,Baxterr Shale (Thin - bedded sandstone in upper part),"Campanian, Lower about 81.7 MY",NA,GREGORYENSIS,"SW1/4 SW1/4 NE1/4 sec. 22, T. 3 N., R. 21 E.","Inoceramus cf. I. Balticus Boehm, Baculites sp., Scaphites hippocrepis (Dekay) var. crassus Reeside, Haresiceras sp.",Haresiceras,"A. D. Zapp, W. A. Cobban","8/2/61, 8/8/61",OF-61-5D,,,39.49106,-105.08294,"PP 619, PP 454-I",,02/18/2014,"Inoceramus cf. I. Balticus Boehm, Baculites sp., Scaphites hippocrepis (Dekay) var. crassus Reeside, Haresiceras sp.",,Baxter
365,2314,USA,WY,Sweetwater,Cretaceous,"From a sandstone approximately 2,178 feet above top of Baxter formation.",,NA,,"NE1/4NE1/4 sec. 26, T. 16 N., R. 103 W.","Inoceramus subcompressus Meek & Hayden Ostrea russelli Landes, Pecten (Syncyclonema) halli Gabb, Cymella montanenis Henderson, Legumen ellipticum Conrad",,J. H. Smith,1959,,,,41.34352,-108.97043,,,02/18/2014,"Inoceramus subcompressus Meek & Hayden Ostrea russelli Landes, Pecten (Syncyclonema) halli Gabb, Cymella montanenis Henderson, Legumen ellipticum Conrad",,Baxter
6,2127,USA,UT,Carbon,Cretaceous,About 10 feet above Aberdeen sandstone member of Blackhawk formation,Campanian,NA,,"Road cut in Soldier Canyon in NE1/4  sec. 18, T. 13 S., R. 12 E.",Anomia micronema Meek,,A. D. Zapp,5/25/1959,"F-59-11D, 18D",,,39.69916,-110.61202,,,02/18/2014,Anomia micronema Meek,,Blackhawk
59,10151,USA,UT,Emery,Cretaceous ,Blackhawk Formation ,Campanian,NA,,"Emery West quad., sec. 16, T. 21 S., R. 6 E.","Brachidontes sp., Lucina? sp., Corbula sp., Leptosolen sp.,",,R. M. Flores,1977,Coal-77-1D,Emery West ,,38.99101,-111.25189,,,02/18/2014,"Brachidontes sp., Lucina? sp., Corbula sp., Leptosolen sp.,",,Blackhawk
60,10152,USA,Utah,Emery,Upper Cretaceous ,Blackhawk Formation ,Campanian,NA,,"sec. 33, T. 21 S., R. 6 E.  ",Crassostrea sp.,,R. M. Flores,1977,Coal-77-1D,Emery West,,38.94681,-111.25202,,,02/18/2014,Crassostrea sp.,,Blackhawk
61,10153,USA,Utah,Emery,Cretaceous ,Blackhawk Formation ,Campanian,NA,,"Emery West quad., sec. 5, T. 22 S., R. 6 E.  ","Corbula Undifera (Meek), Dircella Insculpta (Meek)",,R. M. Flores,1977,,Emery West,,39.02057,-111.27111,,,02/18/2014,"Corbula Undifera (Meek), Dircella Insculpta (Meek)",,Blackhawk
62,6221,USA,UT,Carbon,Cretaceous,"Blackhawk Formation, 50-60 ft above Sunnyside coal seam",Campanian,NA,,"Sec. 35, T. 14 s., R. 14 E.","Ostr sp., Anomia micronema Meek, Brachidontes sp., Corbula sp.",,Jonh O. Maberry,1967,EG-68-1D,Sunnyside,,39.56224,-110.31649,,,02/18/2014,"Ostr sp., Anomia micronema Meek, Brachidontes sp., Corbula sp.",,Blackhawk
414,2512,USA,UT,Emery,Cretaceous,From orange-brown calcareous sandstone concretions just above lowest of three shaly marine sandstones representing tongues of the Blackhawk formation.,Campanian,NA,Scaphites hippocrepis,"Eight miles north-northeast of Green River, about 1/4 mile east of Gunnison Butte, SW1/4 sec. 3, T. 20 S., R. 16 E.UT.","Inoceramus sp., Baculites sp., Scaphites sp.",Scaphites hippocrepis,"A. D. Zapp, W. A. Cobban",05/11/1960,F-60-11D,,Tusher Canyon,39.1058,-110.1189,,,02/18/2014,"Inoceramus sp., Baculites sp., Scaphites sp.",,Blackhawk
441,2128,USA,UT,Emery,Cretaceous,From upper part of Mancos shale 25 - 50 feet below base of lower sandstone member of Blackhawk formation,Campanian,NA,,"From cut bank of Long Canyon in sec. 5 or 6, T. 20 S., 18 E.","Inoceramus sp., Baculites aff. B. aquilaensis Reeside, Scaphites sp.",,A. D. Zapp,5/28/1959,"F-59-11D, 18D",,,39.11071,-109.94854,,,02/18/2014,"Inoceramus sp., Baculites aff. B. aquilaensis Reeside, Scaphites sp.",,Blackhawk
983,6722,USA,UT,Emery,Cretaceous,Sunny side Member of Blackhawk Formation.,Campanian,NA,,"NE¼ sec.24, T.17S., R.14W","Crassostrea sp., Brachidontes sp., and corbula undifera Meek.",,John O. Maberry,5/21/1905,EG-68-4D,Woodside,,39.31998,-113.36803,,,02/18/2014,"Crassostrea sp., Brachidontes sp., and corbula undifera Meek.",,Blackhawk
36,2595,USA,WY,Sweetwater,Cretaceous,"Approximately 900-930 feet below top of Ericson formation, or 2,200 feet above top of a massive sandstone unit (basal Blair sandstone?) in the Mancos shale.",Campanian,NA,,"SW1/4 sec. 19, T. 12 N., R. 107 W., Sweetwater Co., WY.","Ostrea sp., Corbula undifera Meek, Fish bones and teeth",,J. H. Smith,1960,0,,,41.00285,-109.51824,,,02/18/2014,"Ostrea sp., Corbula undifera Meek, Fish bones and teeth",,Blair
63,4926,USA,WY,Sweetwater,Cretaceous,"Blair Fm.,  from upper part.",Campanian,NA,,"NW¼NW¼SW¼sec. 5, T. 18N., R. 104W.",Pelecypods,,E. A. Merewether,07/09/1965,,,,41.56627,-109.17503,,,02/18/2014,Pelecypods,,Blair
64,4927,USA,WY,Sweetwater,Cretaceous,"Blair Fm.,  from upper part.",Campanian,NA,,"SE¼SE¼NE¼sec. 6, T. 18N., R. 104W.",Baculites aquilaensis,,J. R. Gill,07/09/1965,,,,41.5678,-109.1775,,,02/18/2014,Baculites aquilaensis,,Blair
351,2598,USA,WY,Sweetwater,Upper Cretaceous,"From 140-160 feet below top of Blair formation (1,040-1, 060 feet above base); 100 feet above top of main Scaphites hippocrepis zone.",Campanian,NA,NEBRASCENSIS,"NW1/4 sec. 6, T. 18 N., R. 104 W., ","Inoceramus balticus Boehm, Baculites haresi Reeside, Scaphites hipppocrepis (DeKay), Scaphites aquilaensis Reeside, Placenticeras meeki Boehm, Eutrephoceras alcesense Reeside",,J. H. Smith,1960,0,,,39.9379,-105.2582,PP 619,,02/18/2014,"Inoceramus balticus Boehm, Baculites haresi Reeside, Scaphites hipppocrepis (DeKay), Scaphites aquilaensis Reeside, Placenticeras meeki Boehm, Eutrephoceras alcesense Reeside",,Blair
353,6405,USA,WY,Sweetwater,Cretaceous,From 15  ft below the basal sandstone of Blair Formation .,Campanian,NA,,"NE¼NE¼ sec.30 , T. 19N . , R. 102 W .","Inoceramus sp . ,baculites haresi Reeside , Scaphites sp .",,James R . Gill,08/09/1967,OF-67-7D,,,41.60103,-108.94781,,,02/18/2014,"Inoceramus sp . ,baculites haresi Reeside , Scaphites sp .",,Blair
364,2322,USA,WY,,Cretaceous,From a sandstone about 200 feet below the top of the Blair formation.,Campanian,NA,,"NW1/4SW1/4 sec. 13, T. 20 N., R. 103 W.","Hardoquinia taylori (Warren) Protodonax magnus Vokes, Protodonax exaquilius Vokes, Corbula aff. C. chacoensis Stanton, Turritella n. sp.",,J. H. Smith,1959,,,,41.70962,-108.98132,,,02/18/2014,"Hardoquinia taylori (Warren) Protodonax magnus Vokes, Protodonax exaquilius Vokes, Corbula aff. C. chacoensis Stanton, Turritella n. sp.",,Blair
418,2261,USA,WY,,Cretaceous,From sandstone 100-175 feet below the top of the Blair formation,"Campanian, Lower about 81.7 MY",NA,,"NW1/4 sec. 6, T. 18 N., R. 104 W","Ostrea russelli, Cardium (Ethmocardium) whitei, baculites haresi, Glyptoxoceras rubeyi, Scaphites hippocrepis, Placenticeras planum",Scaphites hippocrepis,J. H. Smith,1959,,,,41.5714,-109.19016,,,02/18/2014,"Ostrea russelli, Cardium (Ethmocardium) whitei, baculites haresi, Glyptoxoceras rubeyi, Scaphites hippocrepis, Placenticeras planum",,Blair
419,2262,USA,WY,,Cretaceous,From sandstone 100-175 feet below the top of the Blair formation,Campanian,NA,,"NW1/4 sec. 31, T. 19, N., R. 104 W","Hardouinia taylori, Ostrea russelli, Baculites haresi, Baculites cf. B. aquilaensis, Glyptoxoceras rubeyi",,J. H. Smith,1959,,,,41.58496,-109.18977,,,02/18/2014,"Hardouinia taylori, Ostrea russelli, Baculites haresi, Baculites cf. B. aquilaensis, Glyptoxoceras rubeyi",,Blair
420,2221,USA,WY,Sweetwater,Upper Cretaceous,From sandstone about 100 - 125 feet below top of Blair formation.,Campanian,NA,,"South of Winton in the SE1/4 SE1/4 sec. 5, T. 20 N., 104 W.","Cymella montanensis, Cardium (Ethmocardium) whitei, Baculites haresi, Baculites thomi, Placenticeras meeki",Scaphites hippocrepis,J. H. Smith,1959,,,,41.7346,-109.1581,PP 619,,02/18/2014,"Cymella montanensis, Cardium (Ethmocardium) whitei, Baculites haresi, Baculites thomi, Placenticeras meeki",,Blair
719,11913,USA,WY,Sweetwater,Cretaceous,Middle part of Blair Formation,"Campanian, Lower about 81.7 MY",NA,,"SW1/4 SW1/4 SE1/4 sec. 36, T. 17 N., R. 103 W.",Scaphites hippocrepis ,,H. W. Roehler,1982,0,Camel Rock ,,41.40199,-108.97292,,,02/18/2014,Scaphites hippocrepis ,,Blair
